instance,profile,policy,label,population,n_routes,A_l1,A_l2,A_l2_over_l1,A_l1_over_tr,Delta_A,E_spec_norm,eta,angle_vM_vA_deg,angle_uslope_vM_deg,angle_uslope_E1_deg,angle_uslope_vA_deg,M_l1,M_l2,M_ld,M_l2_over_l1,M_gap12,M_gap12_rel,M_leading_multiplicity,M_trace,M_residual_opt,M_residual_uslope,M_transfer_ratio,M_transfer_bound_ratio,M_transfer_excess,M_transfer_bound_excess,M_q_rayleigh,M_beta_q,M_transfer_identity_excess,M_bound_slack_over_actual_excess,M_bound_slack_fraction,M_gap12_degenerate,eigengap_degenerate,mu_n,mu_mean,mu_p50,mu_p90,mu_p95,mu_max,sqrt_mu_p50,sqrt_mu_p90,sqrt_mu_p95,sqrt_mu_max,theorem_factor_exact_observed,theorem_factor_spectral_bound,Ce_u,Ce_best_found_min,Ce_best_found_max,Ce_best_found_spread,Ce_rho_best_found,Ce_global_lower_bound,Ce_rho_certified_upper,Ce_random_p05,Ce_random_p50,Ce_random_p95,Ce_pca_top,Ce_pca_bottom,Ce_cov_l1,Ce_cov_l2,Ce_cov_ld,Ce_cov_l2_over_l1,Ce_search_seconds,certificate_factor_best_found,certificate_factor_spectral_best_found,certificate_factor_certified_upper
CON3-2,moderate,SAA,search_unique_ordered_route,search_unique_ordered_route,2816,3766228960106875.5,204984089408994.3,0.05442687940118686,0.9252920378459165,3561244870697881.0,1848274779840754.8,0.5189968246914054,21.957854564701204,4.7196978478161915,4.719697847816336,19.89215917537019,2506121348477683.5,228441871225013.56,936840652410.3368,0.0911535554189258,2277679477252670.0,0.9088464445810742,1,2918951461249987.0,412830112772303.5,429301885644634.5,1.0398996399795477,1.0410836433038226,16471772872331.0,16960565098214.152,73134594956782.58,0.028819336092352904,16471772872332.49,0.029674536534207385,0.02881933609244065,0,0,2816,2.0892378088229617,2.089648160297733,2.3702684183583145,2.541268784427853,3.587276098106635,1.4455615378213265,1.5395676075941953,1.5941357325217833,1.8940105855318325,1.9314261888377526,1.9325254124470335,4.018667496733632,4.007213076857858,4.046947264701445,1.009915666345036,1.002858450413312,1.5715738347064603,2.557097482781801,4.0186049700238025,4.027576936538649,4.035275414903927,4.023028824181041,4.031124983590341,1.0025519891487702,0.9930267722101018,0.9216607572467161,0.990499029435116,1.004175199981546,1.9369470748255175,1.9380494405109787,4.938845045655865
CON3-2,moderate,SAA,search_unique_customer_set_A_only,search_unique_customer_set_A_only,521,574377861682556.6,23863298441327.477,0.04154634089033899,0.9354497610640945,550514563241229.1,nan,nan,0.0,19.245695942274228,nan,19.245695942274228,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,4.018667496733632,4.007213076857858,4.046947264701445,1.009915666345036,1.002858450413312,1.5715738347064603,2.557097482781801,4.0186049700238025,4.027576936538649,4.035275414903927,4.023028824181041,4.031124983590341,1.0025519891487702,0.9930267722101018,0.9216607572467161,0.990499029435116,1.004175199981546,nan,nan,nan
CON3-3,moderate,-,train_random_unique,train_random_unique,200,499547905475746.75,1252476619228.952,0.0025072202395406903,0.9912343214438406,498295428856517.8,217297431880141.16,0.4360815277370547,24.232245987756016,8.537736462515939e-07,0.0,24.23224598775597,410929962077380.1,31180727808727.83,194257739461.82983,0.07587844812069543,379749234268652.3,0.9241215518793046,1,448106707430238.0,37176745352857.875,37176745352857.875,1.0,1.0,0.0,0.0,nan,nan,0.0,nan,nan,0,0,200,2.2445620399352464,2.288933964916235,2.8781579341553902,2.9931790220661587,3.4202608505070713,1.5129222928195465,1.6965134637292179,1.7300805937795096,1.849394725445888,1.849394725445888,1.849394725445888,4.018629704737591,4.007213076857858,4.046947264701445,1.009915666345036,1.00284901942092,1.5715738347064603,2.557073435552707,4.0186049700238025,4.027576936538649,4.035275414903927,4.023028824181041,4.031124983590341,1.0025519891487702,0.9930267722101018,0.9216607572467161,0.990499029435116,1.004175199981546,1.8546636869356306,1.8546636869356306,4.729038124288972
CON3-3,moderate,SAA,search_call_weighted,search_call_weighted,2800,2695657320216091.0,159636723600145.53,0.059219961826360266,0.9195523694368173,2536020596615945.5,1192676225243282.0,0.47029437648684075,23.05837681255901,4.844053994387577,4.844053994387831,25.247697992091368,2091868377191899.5,170508281175345.84,1603407856037.0098,0.08151004290443657,1921360096016553.8,0.9184899570955635,1,2454840287169873.5,362971909977974.0,377493174835161.25,1.0400065802834948,1.0410644503463276,14521264857187.25,14905241974402.176,55451169503523.164,0.02576121326120446,14521264857189.744,0.026442401608347335,0.025761213261371856,0,0,2800,2.078961722994415,2.0977904860224514,2.973291207288018,3.2260523333865243,3.591602279935852,1.448375116675039,1.7243233957703739,1.7961214694951786,1.8951523104847936,1.9326898367028498,1.9336725300381226,4.018629704737591,4.007213076857858,4.046947264701445,1.009915666345036,1.00284901942092,1.5715738347064603,2.557073435552707,4.0186049700238025,4.027576936538649,4.035275414903927,4.023028824181041,4.031124983590341,1.0025519891487702,0.9930267722101018,0.9216607572467161,0.990499029435116,1.004175199981546,1.9381961075822312,1.9391816006299007,4.9420298405955565
CON3-3,moderate,SAA,search_unique_ordered_route,search_unique_ordered_route,2584,2507104598280280.0,147737715095872.34,0.05892762320216371,0.9206459263237624,2359366883184407.5,1112280366414152.0,0.47143171091429464,23.097384704126807,4.971693941898621,4.971693941898553,25.375390512041612,1940784529829853.0,159582995717244.28,1514829594042.8801,0.08222602420024173,1781201534112608.8,0.9177739757997583,1,2276761715718262.5,335977185888409.5,350164337134437.0,1.0422265315679486,1.043351253164929,14187151246027.5,14565032043088.805,51827989076001.75,0.025944384876348515,14187151246026.56,0.026635424583008792,0.025944384876283977,0,0,2584,2.0716809381686354,2.0977904860224514,2.927996194918199,3.201428224471774,3.591602279935852,1.448375116675039,1.7111388569859236,1.789253538135086,1.8951523104847936,1.9347514535436017,1.9357951181984852,4.018629704737591,4.007213076857858,4.046947264701445,1.009915666345036,1.00284901942092,1.5715738347064603,2.557073435552707,4.0186049700238025,4.027576936538649,4.035275414903927,4.023028824181041,4.031124983590341,1.0025519891487702,0.9930267722101018,0.9216607572467161,0.990499029435116,1.004175199981546,1.9402635980094007,1.9413102360851549,4.947301546253332
CON3-3,moderate,SAA,search_unique_customer_set_A_only,search_unique_customer_set_A_only,372,321611574107214.8,15447273219837.652,0.04803083739358222,0.9265621758898519,306164300887377.2,nan,nan,0.0,24.508002515995134,nan,24.508002515995134,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,4.018629704737591,4.007213076857858,4.046947264701445,1.009915666345036,1.00284901942092,1.5715738347064603,2.557073435552707,4.0186049700238025,4.027576936538649,4.035275414903927,4.023028824181041,4.031124983590341,1.0025519891487702,0.9930267722101018,0.9216607572467161,0.990499029435116,1.004175199981546,nan,nan,nan
CON3-4,moderate,-,train_random_unique,train_random_unique,200,557499182140348.6,1501130961509.871,0.0026926155402537725,0.9921143233976097,555998051178838.75,247310593170420.4,0.4448047842003534,22.578578180778944,0.0,0.0,22.578578180778944,425048973606318.75,33250200702030.28,123881206204.09236,0.07822675213145365,391798772904288.5,0.9217732478685464,1,463770765162706.0,38721791556387.25,38721791556387.31,1.0000000000000016,1.0,0.0625,0.0,nan,nan,0.0,nan,nan,0,0,200,2.2512433155972205,2.327585699206666,2.7563521962014077,2.9644694843053156,3.643393526759211,1.5256426928607243,1.6602250515220691,1.721762837380195,1.9087675413101541,1.9087675413101557,1.9087675413101541,4.016900446748856,4.007213076857858,4.046947264701445,1.009915666345036,1.002417483099899,1.5715738347064603,2.5559731003660646,4.0186049700238025,4.027576936538649,4.035275414903927,4.023028824181041,4.031124983590341,1.0025519891487702,0.9930267722101018,0.9216607572467161,0.990499029435116,1.004175199981546,1.913381954582909,1.9133819545829074,4.878758490440629
CON3-4,moderate,SAA,search_call_weighted,search_call_weighted,2767,3119270209067895.0,105721204088275.75,0.0338929291155791,0.9383241331969902,3013549004979619.0,1444847265094962.8,0.4794503964287564,22.95926324768645,5.806937031885264,5.80693703188544,21.123180660604035,2321128414070038.0,162952614980442.56,872403675506.793,0.07020404988912674,2158175799089595.5,0.9297959501108733,1,2669874962291414.0,348746548221376.0,372027096297399.0,1.0667549204279008,1.0681063246269824,23280548076023.0,23751845625704.58,46912235255777.734,0.01984256537813792,23280548076025.098,0.02024426350026419,0.019842565378226158,0,0,2767,1.9234826755435053,2.0972814132863773,2.4247680042685187,2.499068953637585,2.7317198384080914,1.4481993693156952,1.5571666591134161,1.5808443796412706,1.6527915290223663,1.7070663662706091,1.7081473111276677,4.016900446748856,4.007213076857858,4.046947264701445,1.009915666345036,1.002417483099899,1.5715738347064603,2.5559731003660646,4.0186049700238025,4.027576936538649,4.035275414903927,4.023028824181041,4.031124983590341,1.0025519891487702,0.9930267722101018,0.9216607572467161,0.990499029435116,1.004175199981546,1.7111931703614744,1.7122767283844569,4.363215712727321
CON3-4,moderate,SAA,search_unique_ordered_route,search_unique_ordered_route,2641,2991978839127436.5,100258342682913.73,0.03350904136479538,0.9388430620008763,2891720496444523.0,1386630641921285.2,0.4795175203226587,22.983663149553283,5.79143938826856,5.791439388268837,21.116931131123202,2226147325785999.8,156734429985454.8,833592284613.8923,0.070406135375661,2069412895800545.0,0.929593864624339,1,2559950043007739.0,333802717221739.25,356006792082943.0,1.0665185563676942,1.0678812085028817,22204074861203.75,22658931846557.324,45504696074388.92,0.020074070059095877,22204074861205.254,0.020485293271476343,0.020074070059162244,0,0,2641,1.9189242338516554,2.088195992140353,2.4276529368736277,2.5021384408956155,2.7317198384080914,1.445059165619302,1.5580927240936682,1.5818149199244567,1.6527915290223663,1.706877235907723,1.7079672954510954,4.016900446748856,4.007213076857858,4.046947264701445,1.009915666345036,1.002417483099899,1.5715738347064603,2.5559731003660646,4.0186049700238025,4.027576936538649,4.035275414903927,4.023028824181041,4.031124983590341,1.0025519891487702,0.9930267722101018,0.9216607572467161,0.990499029435116,1.004175199981546,1.7110035827791323,1.7120962775230288,4.3627323006073215
CON3-4,moderate,SAA,search_unique_customer_set_A_only,search_unique_customer_set_A_only,366,334780040543895.25,11884814146174.238,0.0355003665298139,0.9392182653412546,322895226397721.0,nan,nan,0.0,21.88800228337831,nan,21.88800228337831,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,4.016900446748856,4.007213076857858,4.046947264701445,1.009915666345036,1.002417483099899,1.5715738347064603,2.5559731003660646,4.0186049700238025,4.027576936538649,4.035275414903927,4.023028824181041,4.031124983590341,1.0025519891487702,0.9930267722101018,0.9216607572467161,0.990499029435116,1.004175199981546,nan,nan,nan
