instance,profile,policy,stream,route_len,rho_cand,cand_count,N,candidate_cvar_matches_full,tier2_decision,tier2_incremental_certified,full_feasible,t_tier2_total,t_tier2_exact_partial,t_full,tier2_over_full,cvar_L,cvar_U,cvar_candidate,cvar_full
CON3-0,moderate,SAA,search,15,0.9469,9469,10000,1,ambiguous,0,0,0.005443599977297708,0.002577199978986755,0.002009400021051988,2.709067343618222,7673976.049375947,8430432.31603659,8084939.630404009,8084939.6304040095
CON3-0,moderate,SAA,search,15,0.9469,9469,10000,1,ambiguous,0,0,0.005354299995815381,0.0025064999936148524,0.0019131000153720379,2.7987559211712925,7673976.049375947,8430432.31603659,8084955.082972106,8084955.0829721065
CON3-0,moderate,SAA,search,17,0.8424,8424,10000,1,ambiguous,0,0,0.005577499978244305,0.0023034999903757125,0.0024824000138323754,2.246817574591315,7846538.157083088,8497414.090029534,8210131.75270657,8210131.75270657
CON3-0,moderate,SAA,search,17,0.8424,8424,10000,1,ambiguous,0,0,0.005426399991847575,0.0022456999868154526,0.0022757999831810594,2.3843923156474767,7846538.157083088,8497414.090029534,8210131.75270657,8210131.75270657
CON3-0,moderate,SAA,search,17,0.8572,8572,10000,1,ambiguous,0,0,0.005506199988303706,0.002521399990655482,0.0023443000100087374,2.3487608091095744,7819637.329345001,8497414.090029534,8203638.520612793,8203638.520612793
CON3-0,moderate,SAA,search,15,0.9275,9275,10000,1,ambiguous,0,0,0.005511700001079589,0.0025612000026740134,0.0020634999964386225,2.6710443472702625,7853808.524668148,8593769.963780437,8259637.76908087,8259637.769080869
CON3-0,moderate,SAA,search,17,0.8291,8291,10000,1,certified_infeasible,1,0,0.005650000006426126,0.002243599999928847,0.002490099985152483,2.268985197427783,8213210.972746606,8903096.573684063,8581236.49212095,8581236.49212095
CON3-0,moderate,SAA,search,16,0.8809,8809,10000,1,certified_feasible,1,1,0.005468800023663789,0.0025040000036824495,0.0021179999748710543,2.582058587605382,7482013.176764288,8072136.610927313,7817202.385825432,7817202.385825431
CON3-0,moderate,SAA,search,16,0.8809,8809,10000,1,certified_feasible,1,1,0.005598399991868064,0.002582699991762638,0.002306699985638261,2.42701696220759,7482013.176764288,8072136.610927313,7812014.7298441315,7812014.7298441315
CON3-0,moderate,SAA,search,16,0.8809,8809,10000,1,certified_feasible,1,1,0.005879500007722527,0.0025898000167217106,0.0021769000159110874,2.700859003513677,7482013.176764288,8072136.610927313,7811091.154221204,7811091.154221203
CON3-0,moderate,SAA,search,17,0.8828,8828,10000,1,ambiguous,0,1,0.0051632999966386706,0.002323599997907877,0.002385700005106628,2.1642704386915987,7711141.289248126,8318396.605326304,8063728.89533524,8063728.89533524
CON3-0,moderate,SAA,search,17,0.8828,8828,10000,1,ambiguous,0,1,0.005548699991777539,0.002399599994532764,0.00245199998607859,2.2629282313542785,7711141.289248126,8318396.605326305,8063728.895335241,8063728.895335241
CON3-0,moderate,SAA,search,13,0.9235,9235,10000,1,ambiguous,0,0,0.004578299995046109,0.0015919999859761447,0.0014905999996699393,3.0714477365221207,8015241.403557648,8777318.925220268,8420082.288940586,8420082.288940586
CON3-0,moderate,SAA,search,13,0.9235,9235,10000,1,ambiguous,0,0,0.004518600006122142,0.0015736999921500683,0.0015412000066135079,2.931871260532175,8015241.403557648,8777318.925220268,8420056.261681024,8420056.261681024
CON3-0,moderate,SAA,search,17,0.8606,8606,10000,1,certified_infeasible,1,0,0.005789400020148605,0.002512100007152185,0.00232759999926202,2.487283047767731,8203342.1670613475,8838593.013376113,8574749.330578562,8574749.330578562
CON3-0,moderate,SAA,search,13,0.9417,9417,10000,1,ambiguous,0,0,0.0043895000126212835,0.0014876000059302896,0.0017388999985996634,2.5242969786394553,7832557.095310122,8588823.58426805,8237720.540518738,8237720.540518737
