instance,profile,policy,N,dimension,alpha,capacity,iterations,repetitions,direction,explained_variance,effective_rank,entropy_rank,top_share,residual_cvar,prep_seconds,calls,coverage,certified_feasible,certified_infeasible,fallbacks,mean_pieces,mean_route_length_checked,K,distance,objective_raw,full_gate_seconds,full_gate_iqr,cert_gate_seconds,cert_gate_iqr,gate_speedup,gate_speedup_iqr,full_solver_seconds,full_solver_iqr,cert_solver_seconds,cert_solver_iqr,solver_speedup,solver_speedup_iqr,solver_speedup_with_prep,audit
CON3-0,moderate,SAA,50000,10,0.9,8080987.0,10,3,SLOPE,0.1001712282576726,1.169833631000256,1.4016637053623686,0.9223725044797388,4.060019377438908,0.009950000006938353,5276,0.5760045489006823,2704,335,2237,4.7139878695981805,12.508529188779379,4,639.6643,7898012.392941177,43.213083800132154,1.6528163495459012,20.753902400188963,0.16103835000831168,2.0790428594267536,0.06562280352431538,43.306064900010824,1.6613402499933727,20.84396649998962,0.16151569999783533,2.074048313253013,0.06596699112755555,2.076639412074848,False
CON3-1,moderate,SAA,50000,10,0.9,9262573.0,10,3,SLOPE,0.10031389568929366,1.1869052355599734,1.425721365483848,0.9151069452277866,4.059200436103714,0.011351599998306483,5234,0.5284677111196026,2575,191,2468,4.165647688192587,13.394535727932748,4,580.1506,7244194.429803922,42.78524139987712,1.0796172497721273,24.55065650009783,0.5451332497541443,1.7394999712547876,0.08433650271941051,42.864125799998874,1.0817732499999693,24.63344320000033,0.548281199997291,1.7365817629065798,0.08416581900199582,1.739277041982157,False
CON3-2,moderate,SAA,50000,10,0.9,8544946.0,10,3,SLOPE,0.10023716697691676,1.1759779433167425,1.4101199869167906,0.9197579357956552,4.059940962336358,0.009779100000741892,6783,0.5870558749815715,3137,845,2801,4.390682588825004,13.454960931741118,4,538.9096,6690309.352156863,55.57772679987829,1.4453245000040624,27.490235099889105,0.13575320016389014,2.021726136496464,0.04258088670835569,55.74612460000208,1.4527472499976284,27.653277999997954,0.13531795000017155,2.01589571406349,0.04265983507612958,2.0151830796750483,False
CON3-3,moderate,SAA,50000,10,0.9,8493987.0,10,3,SLOPE,0.10021301625648166,1.18227410484981,1.4160036311970634,0.9170359543019214,4.060210937639975,0.009481400004005991,5143,0.7067859226132608,3017,618,1508,4.149329185300409,12.938168384211549,4,610.6187,7650530.221960785,40.48636019988044,0.8581247496695141,15.26274100044975,0.1434916497746599,2.6604418813114084,0.0538233956883869,40.59193490000325,0.8593246000091312,15.365437799991923,0.14163264999660896,2.6487757887095245,0.05338069053531136,2.6401397218408795,False
CON3-4,moderate,SAA,50000,10,0.9,8776362.0,10,3,SLOPE,0.10029133074065628,1.1832235283584267,1.4097401418318505,0.9165066139026627,4.059437165849444,0.010237800001050346,4928,0.5888798701298701,2775,127,2026,4.677353896103896,13.042816558441558,4,624.4067,7673420.694117647,40.6038844006398,1.260313100341591,19.840707099530846,0.631524500073283,2.035599791327789,0.07025118327127267,40.688840400005574,1.2636479500069981,19.930618200000026,0.6356916500008083,2.030415044910437,0.07012947363235855,2.0404761159703164,False
CON3-5,moderate,SAA,50000,10,0.9,7725403.0,10,3,SLOPE,0.10020540385943091,1.198644324793567,1.4383228969921356,0.9101136062844051,4.0600962917911465,0.010552199993981048,5772,0.5949410949410949,2918,516,2338,3.8794178794178795,13.606029106029107,4,601.5216,7542339.689411765,50.72839169987128,0.6302566498925444,24.081629100634018,0.20488550038135145,2.1085868746034535,0.02049902048030061,50.8415806999983,0.6333468000011635,24.198191800009226,0.20622134999575792,2.1035844191963062,0.02061815810742118,2.1001329395689248,False
CON3-6,moderate,SAA,50000,10,0.9,7341109.0,10,3,SLOPE,0.10028481172011514,1.1780023794511085,1.4136408496287198,0.9188925084672932,4.0593492600373144,0.010690700000850484,5431,0.5989688823421101,2746,507,2178,4.438777389062787,13.48149512060394,4,531.1289,6562050.741176471,47.50963839927863,0.749890450417297,23.497667000847287,0.33843149969470687,2.0218874664265822,0.06092014738550833,47.633213199995225,0.7531112500073505,23.62293139999383,0.3359840500052087,2.0163972198644093,0.060441780439723036,2.0154850999333678,False
CON3-7,moderate,SAA,50000,10,0.9,8290151.0,10,3,SLOPE,0.10021134490145184,1.1909401908663189,1.426944484271252,0.9133341539932355,4.060030255921685,0.009981299997889437,5392,0.4729228486646884,2251,299,2842,4.026891691394659,13.654859050445104,4,606.4202,7716810.536470588,52.16163570013305,3.5040108999819495,32.38870059995679,1.8016569002429605,1.620694449125606,0.023082917686618742,52.298615699997754,3.514787249994697,32.52063939999789,1.8022129999953904,1.617309512829181,0.02296578325370069,1.6076734650195144,False
CON3-8,moderate,SAA,50000,10,0.9,8239189.0,10,3,SLOPE,0.10022185658659297,1.1728730806758894,1.4018129346586334,0.9210297828829889,4.060341058062593,0.010745699997642078,5004,0.761990407673861,3480,333,1191,4.654876099120703,12.697042366107114,4,536.4569,6807686.882352941,38.45346799946856,3.1195809495984577,11.180301099448116,0.3457550499078934,3.45890673960354,0.17328480925979672,38.52561310000601,3.1264881500028423,11.240148799988674,0.3479224999973667,3.4468042388326925,0.17260593453648054,3.424226678159045,False
CON3-9,moderate,SAA,50000,10,0.9,7188232.0,10,3,SLOPE,0.10032130885865995,1.1635206842488526,1.3851954451561768,0.9249799205515112,4.059472590452168,0.009832499999902211,4914,0.7914122914122914,3619,270,1025,4.1253561253561255,12.363858363858364,4,599.3209,7463412.130980392,37.721332799934316,0.7133948498376412,9.656585700635333,0.028958400049305055,3.9243216114334083,0.07655818011998416,37.79683180000575,0.7152363499990315,9.721260699996492,0.030736450004042126,3.907756499525645,0.07601957343363619,3.884130079035699,False
CON8-0,moderate,SAA,50000,10,0.9,3030370.0,10,3,SLOPE,0.10017336992421234,1.263027161141608,1.6598035485542384,0.8866890138243845,4.06001327478898,0.010897800006205216,9900,0.7626262626262627,3577,3973,2350,3.211818181818182,5.262727272727273,10,918.8653,12942076.482352942,34.839239199849544,0.3835713999142172,9.36992639930395,0.12928439984534634,3.7181977440545957,0.09012439439384234,35.010445500010974,0.38246975000947714,9.522403900002246,0.13241155000287108,3.6766394145497983,0.08921463313419675,3.6724365389569007,False
