instance,source_file,p,method,n,routes,selection,seed,demand_mode,mean_level,delta,load_target,Q,expected_load_ratio,selected_original_ids,scaled_means,objective,travel,recourse,routes_solution,root_info_candidates,root_info_cuts,incumbent_info_candidates,incumbent_info_violated,incumbent_info_cuts,total_info_cuts,info_retention_median,final_info_gap,final_info_gap_ratio,root_info_rounds,root_bound_initial,root_bound_final,info_candidate_time,info_lp_time,exact_lazy_rounds,exact_route_cuts,mip_nodes_sum,mip_time,total_time_including_info,status
CON3-0,/mnt/data/CON3-0.vrpspd,0.5,BASELINE,8,2,random,1,delivery,4.0,1,1.0,15,1.0,3;8;22;24;35;42;45;49,2;5;2;4;4;3;4;6,191.97669999999997,188.91709999999998,3.0596000000000014,3-8-35-45|49-22-24-42,0,0,0,0,0,0,nan,0.0,0.0,0,nan,nan,0.0,0.0,5,8,15.0,0.7791847720018268,0.7791847720018268,0
CON3-0,/mnt/data/CON3-0.vrpspd,0.5,HYBRID,8,2,random,1,delivery,4.0,1,1.0,15,1.0,3;8;22;24;35;42;45;49,2;5;2;4;4;3;4;6,191.97669999999997,188.91709999999998,3.0596000000000014,3-8-35-45|49-22-24-42,0,0,2,2,2,2,1.0,0.0,0.0,0,nan,nan,0.0,0.0,5,8,11.0,0.5536356629991133,0.5536356629991133,0
CON3-0,/mnt/data/CON3-0.vrpspd,0.8,BASELINE,8,2,random,1,delivery,4.0,1,1.0,15,1.0,3;8;22;24;35;42;45;49,2;5;2;4;4;3;4;6,191.9766999999963,188.9170999999963,3.0596000000000014,3-8-35-45|49-22-24-42,0,0,0,0,0,0,nan,8.881784197001252e-16,2.9029233223301245e-16,0,nan,nan,0.0,0.0,5,8,13.0,0.7337016910005332,0.7337016910005332,0
CON3-0,/mnt/data/CON3-0.vrpspd,0.8,HYBRID,8,2,random,1,delivery,4.0,1,1.0,15,1.0,3;8;22;24;35;42;45;49,2;5;2;4;4;3;4;6,191.976700000016,188.917100000016,3.0596000000000014,3-8-35-45|49-22-24-42,0,0,2,2,2,2,0.9552587614018242,8.881784197001252e-16,2.9029233223301245e-16,0,nan,nan,0.0,0.0,5,8,10.0,0.7277842030016473,0.7277842030016473,0
CON3-0,/mnt/data/CON3-0.vrpspd,0.95,BASELINE,8,2,random,1,delivery,4.0,1,1.0,15,1.0,3;8;22;24;35;42;45;49,2;5;2;4;4;3;4;6,191.97669999999985,188.91709999999986,3.0596000000000014,3-8-35-45|49-22-24-42,0,0,0,0,0,0,nan,0.01449061124999984,0.004736112972283904,0,nan,nan,0.0,0.0,5,8,9.0,0.9136459219998869,0.9136459219998869,0
CON3-0,/mnt/data/CON3-0.vrpspd,0.95,HYBRID,8,2,random,1,delivery,4.0,1,1.0,15,1.0,3;8;22;24;35;42;45;49,2;5;2;4;4;3;4;6,191.97669999999994,188.91709999999995,3.0596000000000014,3-8-35-45|49-22-24-42,0,0,2,2,2,2,0.974864476241306,0.01449061124999984,0.004736112972283904,0,nan,nan,0.0,0.0,5,8,11.0,0.9432830369996736,0.9432830369996736,0
CON3-0,/mnt/data/CON3-0.vrpspd,0.99,BASELINE,8,2,random,1,delivery,4.0,1,1.0,15,1.0,3;8;22;24;35;42;45;49,2;5;2;4;4;3;4;6,191.97669999999718,188.9170999999972,3.0596000000000014,3-8-35-45|49-22-24-42,0,0,0,0,0,0,nan,0.0008462833830003014,0.0002765993538372013,0,nan,nan,0.0,0.0,5,8,11.0,0.5860453169998436,0.5860453169998436,0
CON3-0,/mnt/data/CON3-0.vrpspd,0.99,HYBRID,8,2,random,1,delivery,4.0,1,1.0,15,1.0,3;8;22;24;35;42;45;49,2;5;2;4;4;3;4;6,191.97669999999997,188.91709999999998,3.0596000000000014,3-8-35-45|49-22-24-42,0,0,2,2,2,2,0.9949587209144504,0.0008462833830003014,0.0002765993538372013,0,nan,nan,0.0,0.0,5,8,7.0,0.5814998780006135,0.5814998780006135,0
