instance,source_file,p,method,n,routes,selection,seed,demand_mode,mean_level,delta,load_target,Q,expected_load_ratio,selected_original_ids,scaled_means,objective,travel,recourse,routes_solution,root_info_candidates,root_info_cuts,incumbent_info_candidates,incumbent_info_violated,incumbent_info_cuts,total_info_cuts,info_retention_median,final_info_gap,final_info_gap_ratio,root_info_rounds,root_bound_initial,root_bound_final,info_candidate_time,info_lp_time,exact_lazy_rounds,exact_route_cuts,mip_nodes_sum,mip_time,total_time_including_info,status
CON3-0,/mnt/data/CON3-0.vrpspd,0.5,BASELINE,8,2,random,0,delivery,4.0,1,1.0,16,1.0,2;3;5;14;16;25;30;38,2;2;6;4;4;7;5;2,322.952,303.3704,19.58159999999999,5-3-2-16-38|25-14-30,0,0,0,0,0,0,nan,0.0,0.0,0,nan,nan,0.0,0.0,5,6,79.0,1.105011536999882,1.105011536999882,0
CON3-0,/mnt/data/CON3-0.vrpspd,0.5,HYBRID,8,2,random,0,delivery,4.0,1,1.0,16,1.0,2;3;5;14;16;25;30;38,2;2;6;4;4;7;5;2,322.9519999999998,303.37039999999985,19.58159999999999,5-3-2-16-38|25-14-30,0,0,2,2,2,2,1.0,0.0,0.0,0,nan,nan,0.0,0.0,5,6,90.0,1.301963123999485,1.301963123999485,0
CON3-0,/mnt/data/CON3-0.vrpspd,0.8,BASELINE,8,2,random,0,delivery,4.0,1,1.0,16,1.0,2;3;5;14;16;25;30;38,2;2;6;4;4;7;5;2,321.24175664,303.3704,17.87135663999999,5-3-2-16-38|25-14-30,0,0,0,0,0,0,nan,0.11308953600000038,0.006327977124404834,0,nan,nan,0.0,0.0,5,6,97.0,1.2509139010007857,1.2509139010007857,0
CON3-0,/mnt/data/CON3-0.vrpspd,0.8,HYBRID,8,2,random,0,delivery,4.0,1,1.0,16,1.0,2;3;5;14;16;25;30;38,2;2;6;4;4;7;5;2,321.2417566400009,303.3704000000009,17.87135663999999,5-3-2-16-38|25-14-30,0,0,2,2,2,2,0.9816934571165996,0.11308953600000038,0.006327977124404834,0,nan,nan,0.0,0.0,5,6,88.0,1.4400626930000726,1.4400626930000726,0
CON3-0,/mnt/data/CON3-0.vrpspd,0.95,BASELINE,8,2,random,0,delivery,4.0,1,1.0,16,1.0,2;3;5;14;16;25;30;38,2;2;6;4;4;7;5;2,319.49862392749935,303.37039999999934,16.128223927499995,5-3-2-16-38|25-14-30,0,0,0,0,0,0,nan,0.46865195806249993,0.029057877678856408,0,nan,nan,0.0,0.0,5,6,57.0,1.013762468001005,1.013762468001005,0
CON3-0,/mnt/data/CON3-0.vrpspd,0.95,HYBRID,8,2,random,0,delivery,4.0,1,1.0,16,1.0,2;3;5;14;16;25;30;38,2;2;6;4;4;7;5;2,319.4986239274987,303.3703999999987,16.128223927499995,5-3-2-16-38|25-14-30,0,0,2,2,2,2,0.9749387370736908,0.46865195806249993,0.029057877678856408,0,nan,nan,0.0,0.0,5,6,47.0,1.2727597279999827,1.2727597279999827,0
CON3-0,/mnt/data/CON3-0.vrpspd,0.99,BASELINE,8,2,random,0,delivery,4.0,1,1.0,16,1.0,2;3;5;14;16;25;30;38,2;2;6;4;4;7;5;2,319.0138049944421,303.37039999999814,15.643404994443992,5-3-2-16-38|25-14-30,0,0,0,0,0,0,nan,0.1302995909465796,0.008329362500865868,0,nan,nan,0.0,0.0,5,6,68.0,1.2036151399997834,1.2036151399997834,0
CON3-0,/mnt/data/CON3-0.vrpspd,0.99,HYBRID,8,2,random,0,delivery,4.0,1,1.0,16,1.0,2;3;5;14;16;25;30;38,2;2;6;4;4;7;5;2,319.01380499444247,303.3703999999985,15.643404994443992,5-3-2-16-38|25-14-30,0,0,2,2,2,2,0.9949995022962608,0.1302995909465796,0.008329362500865868,0,nan,nan,0.0,0.0,5,6,70.0,1.4232921870006976,1.4232921870006976,0
